id,booking_id,room_id,check_in_expected,check_out_expected,check_in_actual,check_out_actual,price_per_night
263,263,33,2017-09-14,2017-09-18,2017-09-14,2017-09-18,78.54
264,264,4,2018-11-06,2018-11-10,,,152.1
265,265,5,2018-10-15,2018-10-18,,,115.0
266,266,6,2017-09-02,2017-09-09,2017-09-02,2017-09-09,66.53
267,267,7,2017-08-12,2017-08-14,2017-08-12,2017-08-14,0.0
268,268,8,2017-08-23,2017-08-26,2017-08-23,2017-08-26,0.0
269,269,9,2018-12-29,2019-01-01,,,90.3
270,270,10,2018-04-15,2018-04-17,2018-04-15,2018-04-17,85.0
271,271,1,2018-03-11,2018-03-12,2018-03-11,2018-03-12,75.0
272,272,2,2018-08-28,2018-09-03,,,115.37
273,273,3,2018-03-25,2018-03-28,,,130.0
274,274,34,2018-12-09,2018-12-11,2018-12-09,2018-12-11,126.0
275,275,5,2018-06-12,2018-06-13,2018-06-12,2018-06-13,94.35
276,276,36,2018-07-06,2018-07-12,2018-07-06,2018-07-12,118.46
277,277,7,2018-06-15,2018-06-17,,,90.6
278,278,8,2018-03-05,2018-03-08,2018-03-05,2018-03-08,82.9
279,279,9,2017-08-18,2017-08-21,2017-08-18,2017-08-21,95.33
280,280,40,2018-04-21,2018-04-28,2018-04-21,2018-04-28,135.64
281,281,31,2018-06-18,2018-06-20,2018-06-18,2018-06-20,122.4
282,282,2,2018-05-09,2018-05-13,,,116.1
283,283,3,2018-06-28,2018-07-02,,,62.18
284,284,4,2018-03-09,2018-03-13,,,63.75
285,285,5,2018-09-07,2018-09-12,,,118.8
286,286,6,2018-08-10,2018-08-12,2018-08-10,2018-08-12,167.0
287,287,57,2018-05-13,2018-05-17,2018-05-13,2018-05-17,187.85
288,288,8,2018-04-24,2018-04-28,,,108.38
289,289,19,2018-09-07,2018-09-08,2018-09-07,2018-09-08,0.0
290,290,10,2018-10-28,2018-10-31,,,128.7
291,291,1,2018-03-17,2018-03-21,2018-03-17,2018-03-21,80.33
292,292,2,2018-08-22,2018-08-24,,,140.0
293,293,3,2017-08-08,2017-08-10,2017-08-08,2017-08-10,76.5
294,294,4,2018-05-01,2018-05-04,2018-05-01,2018-05-04,105.3
295,295,5,2018-04-03,2018-04-06,,,87.3
296,296,6,2018-11-01,2018-11-04,,,110.0
297,297,7,2017-09-04,2017-09-05,2017-09-04,2017-09-05,83.0
298,298,8,2018-08-13,2018-08-17,2018-08-13,2018-08-17,99.45
299,299,9,2017-12-27,2017-12-30,2017-12-27,2017-12-30,104.5
300,300,10,2018-11-16,2018-11-24,2018-11-16,2018-11-24,92.54
301,301,1,2018-10-13,2018-10-16,2018-10-13,2018-10-16,95.0
302,302,2,2018-06-15,2018-06-17,,,130.0
303,303,3,2018-01-02,2018-01-05,2018-01-02,2018-01-05,63.0
304,304,34,2018-10-28,2018-10-31,,,109.8
305,305,5,2018-05-16,2018-05-17,2018-05-16,2018-05-17,103.0
306,306,36,2018-02-20,2018-02-23,2018-02-20,2018-02-23,130.0
307,307,7,2018-03-23,2018-03-25,,,117.0
308,308,38,2017-12-29,2018-01-02,2017-12-29,2018-01-02,60.5
309,309,9,2017-09-30,2017-10-01,2017-09-30,2017-10-01,112.2
310,310,10,2018-08-01,2018-08-05,,,135.9
311,311,1,2018-07-25,2018-07-26,,,151.0
312,312,52,2018-09-16,2018-09-18,2018-09-16,2018-09-18,239.0
313,313,3,2017-12-26,2017-12-29,2017-12-26,2017-12-29,59.09
314,314,4,2018-07-09,2018-07-16,,,103.09
315,315,5,2018-02-28,2018-03-03,2018-02-28,2018-03-03,87.0
316,316,36,2018-04-17,2018-04-18,,,137.0
317,317,7,2018-06-24,2018-06-26,2018-06-24,2018-06-26,109.0
318,318,8,2018-06-06,2018-06-08,,,115.0
319,319,39,2018-07-17,2018-07-22,2018-07-17,2018-07-22,99.45
320,320,10,2018-08-18,2018-08-20,,,115.0
321,321,31,2018-02-22,2018-02-25,2018-02-22,2018-02-25,130.0
322,322,2,2018-05-22,2018-05-23,2018-05-22,2018-05-23,65.0
323,323,3,2018-06-17,2018-06-19,,,75.0
324,324,4,2018-07-08,2018-07-11,,,132.9
325,325,5,2017-10-18,2017-10-20,2017-10-18,2017-10-20,120.0
326,326,6,2018-11-11,2018-11-13,,,79.2
327,327,37,2018-08-28,2018-08-31,,,159.3
328,328,8,2018-06-15,2018-06-17,,,130.0
329,329,9,2017-10-06,2017-10-09,2017-10-06,2017-10-09,90.0
330,330,40,2018-05-27,2018-05-29,2018-05-27,2018-05-29,140.4
331,331,1,2017-08-11,2017-08-12,2017-08-11,2017-08-12,75.0
332,332,2,2017-07-17,2017-07-19,,,109.0
333,333,3,2017-07-25,2017-07-28,,,94.5
334,334,4,2017-12-15,2017-12-16,2017-12-15,2017-12-16,75.0
335,335,35,2017-10-23,2017-10-26,2017-10-23,2017-10-26,75.0
336,336,6,2017-10-10,2017-10-13,2017-10-10,2017-10-13,76.67
337,337,7,2018-10-02,2018-10-06,2018-10-02,2018-10-06,126.0
338,338,8,2018-07-23,2018-07-25,2018-07-23,2018-07-25,85.5
339,339,39,2018-08-18,2018-08-21,,,140.7
340,340,40,2018-06-26,2018-06-30,2018-06-26,2018-06-30,103.7
341,341,1,2017-09-08,2017-09-09,2017-09-08,2017-09-09,142.0
342,342,2,2018-12-21,2018-12-28,2018-12-21,2018-12-28,103.7
343,343,3,2018-06-06,2018-06-09,2018-06-06,2018-06-09,110.0
344,344,4,2018-11-10,2018-11-13,2018-11-10,2018-11-13,75.0
345,345,35,2018-07-25,2018-07-27,2018-07-25,2018-07-27,137.7
346,346,6,2018-09-07,2018-09-08,2018-09-07,2018-09-08,87.3
347,347,7,2018-08-24,2018-08-26,2018-08-24,2018-08-26,0.0
348,348,8,2017-08-14,2017-08-16,2017-08-14,2017-08-16,101.5
349,349,9,2018-02-24,2018-02-25,2018-02-24,2018-02-25,97.0
350,350,40,2018-08-15,2018-08-17,2018-08-15,2018-08-17,150.3
351,351,1,2018-03-29,2018-04-02,2018-03-29,2018-04-02,82.45
352,352,32,2018-07-01,2018-07-02,2018-07-01,2018-07-02,103.0
353,353,3,2018-07-05,2018-07-13,,,145.0
354,354,4,2018-07-11,2018-07-13,2018-07-11,2018-07-13,145.0
355,355,35,2018-05-14,2018-05-18,2018-05-14,2018-05-18,134.85
356,356,56,2018-10-22,2018-10-24,2018-10-22,2018-10-24,168.25
357,357,7,2018-02-28,2018-03-03,,,60.0
358,358,8,2018-06-13,2018-06-17,2018-06-13,2018-06-17,76.0
359,359,9,2017-08-10,2017-08-13,2017-08-10,2017-08-13,63.5
360,360,10,2018-09-18,2018-09-20,2018-09-18,2018-09-20,95.0
361,361,31,2018-09-03,2018-09-07,2018-09-03,2018-09-07,90.95
362,362,2,2017-10-16,2017-10-18,2017-10-16,2017-10-18,98.4
363,363,3,2018-09-22,2018-09-23,2018-09-22,2018-09-23,135.9
364,364,34,2018-11-16,2018-11-18,2018-11-16,2018-11-18,130.0
365,365,35,2017-11-19,2017-11-20,2017-11-19,2017-11-20,81.9
366,366,6,2018-02-22,2018-02-27,2018-02-22,2018-02-27,78.85
367,367,7,2018-06-26,2018-07-01,,,141.3
368,368,8,2018-04-09,2018-04-11,2018-04-09,2018-04-11,70.0
369,369,9,2018-08-13,2018-08-18,2018-08-13,2018-08-18,170.1
370,370,10,2018-10-23,2018-10-25,,,115.0
371,371,51,2017-12-29,2018-01-03,2017-12-29,2018-01-03,199.0
372,372,32,2018-07-10,2018-07-14,2018-07-10,2018-07-14,82.45
373,373,63,2018-10-20,2018-10-23,2018-10-20,2018-10-23,192.86
374,374,4,2017-09-25,2017-09-29,2017-09-25,2017-09-29,185.0
375,375,5,2018-12-10,2018-12-18,2018-12-10,2018-12-18,68.07
376,376,6,2018-10-04,2018-10-07,2018-10-04,2018-10-07,118.8
377,377,37,2018-10-27,2018-10-29,,,104.4
378,378,8,2018-03-23,2018-03-24,2018-03-23,2018-03-24,65.0
379,379,9,2018-03-03,2018-03-07,,,71.1
380,380,10,2018-05-21,2018-05-24,2018-05-21,2018-05-24,95.0
381,381,31,2018-09-13,2018-09-28,,,116.62
382,382,2,2018-09-07,2018-09-11,2018-09-07,2018-09-11,136.0
383,383,53,2018-12-02,2018-12-06,,,147.9
384,384,4,2018-09-18,2018-09-20,2018-09-18,2018-09-20,123.7
385,385,5,2018-06-19,2018-06-22,,,135.9
386,386,6,2017-10-16,2017-10-18,2017-10-16,2017-10-18,109.0
387,387,37,2018-03-20,2018-03-23,2018-03-20,2018-03-23,186.0
388,388,38,2018-12-26,2018-12-30,,,115.6
389,389,59,2018-05-14,2018-05-15,,,221.0
390,390,10,2017-09-15,2017-09-18,2017-09-15,2017-09-18,65.0
391,391,1,2018-02-19,2018-02-20,2018-02-19,2018-02-20,80.0
392,392,2,2018-03-23,2018-03-28,2018-03-23,2018-03-28,73.83
393,393,3,2018-10-18,2018-10-19,2018-10-18,2018-10-19,67.0
394,394,4,2018-03-04,2018-03-06,2018-03-04,2018-03-06,80.3
395,395,5,2018-04-30,2018-05-03,2018-04-30,2018-05-03,85.0
396,396,6,2018-07-23,2018-07-28,,,152.1
397,397,7,2017-09-09,2017-09-11,2017-09-09,2017-09-11,89.25
398,398,8,2018-09-28,2018-10-02,2018-09-28,2018-10-02,110.0
399,399,9,2018-05-13,2018-05-16,,,95.0
400,400,10,2018-03-18,2018-03-19,2018-03-18,2018-03-19,79.0
401,401,1,2018-08-12,2018-08-13,,,80.0
402,402,2,2018-10-01,2018-10-05,,,102.85
403,403,3,2018-09-09,2018-09-12,,,90.0
404,404,14,2018-01-29,2018-02-01,2018-01-29,2018-02-01,62.37
